seed,pattern,structure,pattern_length,first_occurrence_step,num_occurrences,occurrence_positions,example_1,example_2,example_3
10,motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_3→motive_3→motive_4→motive_4→motive_8→motive_8→motive_6→motive_6→motive_5→motive_5→motive_3→motive_3→motive_1,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→E→E→A,21,102,2,"[102, 124]",motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_3→motive_3→motive_4→motive_4→motive_8→motive_8→motive_6→motive_6→motive_5→motive_5→motive_3→motive_3→motive_1,motive_7→motive_7→motive_6→motive_6→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_5→motive_5→motive_7,
11,motive_5→motive_5→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_2→motive_2→motive_7→motive_7→motive_4,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→D→D→E,21,0,2,"[0, 44]",motive_5→motive_5→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_2→motive_2→motive_7→motive_7→motive_4,motive_5→motive_5→motive_2→motive_2→motive_3→motive_3→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_8→motive_8→motive_2→motive_2→motive_4→motive_4→motive_1,
12,motive_5→motive_5→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_4,A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→H→H→A→A→E,21,22,2,"[22, 266]",motive_5→motive_5→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_4,motive_5→motive_5→motive_7→motive_7→motive_4→motive_4→motive_3→motive_3→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_4→motive_4→motive_6→motive_6→motive_5→motive_5→motive_2,
13,motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_8→motive_8→motive_7,A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→C→C→B→B→D,21,18,2,"[18, 212]",motive_3→motive_3→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_8→motive_8→motive_7,motive_5→motive_5→motive_7→motive_7→motive_6→motive_6→motive_4→motive_4→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_7→motive_7→motive_4,
14,motive_2→motive_2→motive_4→motive_4→motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_2→motive_2→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_6,A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→G→G→H,21,12,2,"[12, 300]",motive_2→motive_2→motive_4→motive_4→motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_2→motive_2→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_6,motive_7→motive_7→motive_2→motive_2→motive_4→motive_4→motive_6→motive_6→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_8,
15,motive_5→motive_5→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_6,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→D,21,14,5,"[14, 18, 224, 284, 288]",motive_5→motive_5→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_6,motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_6→motive_6→motive_8→motive_8→motive_4,motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_2→motive_2→motive_6→motive_6→motive_8→motive_8→motive_4
16,motive_2→motive_2→motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_4→motive_4→motive_7→motive_7→motive_6→motive_6→motive_3→motive_3→motive_2→motive_2→motive_1→motive_1→motive_5,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→C,21,4,2,"[4, 6]",motive_2→motive_2→motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_4→motive_4→motive_7→motive_7→motive_6→motive_6→motive_3→motive_3→motive_2→motive_2→motive_1→motive_1→motive_5,motive_1→motive_1→motive_5→motive_5→motive_8→motive_8→motive_4→motive_4→motive_7→motive_7→motive_6→motive_6→motive_3→motive_3→motive_2→motive_2→motive_1→motive_1→motive_5→motive_5→motive_8,
17,motive_5→motive_5→motive_8→motive_8→motive_3→motive_3→motive_7→motive_7→motive_6→motive_6→motive_4→motive_4→motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_7,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→H→H→D,21,56,2,"[56, 212]",motive_5→motive_5→motive_8→motive_8→motive_3→motive_3→motive_7→motive_7→motive_6→motive_6→motive_4→motive_4→motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_7,motive_4→motive_4→motive_5→motive_5→motive_6→motive_6→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_8,
18,motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→motive_7→motive_7→motive_8→motive_8→motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_3,A→A→B→B→C→C→D→D→E→E→A→A→B→B→F→F→G→G→H→H→E,21,8,2,"[8, 230]",motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→motive_7→motive_7→motive_8→motive_8→motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_3,motive_6→motive_6→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_3→motive_3→motive_6→motive_6→motive_7→motive_7→motive_5→motive_5→motive_1→motive_1→motive_4→motive_4→motive_3,
19,motive_8→motive_8→motive_6→motive_6→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_6,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→A→A→B,21,20,2,"[20, 238]",motive_8→motive_8→motive_6→motive_6→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_7→motive_7→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_6,motive_3→motive_3→motive_8→motive_8→motive_2→motive_2→motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_7→motive_7→motive_1→motive_1→motive_2→motive_2→motive_3→motive_3→motive_8,
20,motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_7→motive_7→motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_4→motive_4→motive_3→motive_3→motive_6→motive_6→motive_5,A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→H→H→A→A→E,21,0,2,"[0, 298]",motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_7→motive_7→motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_4→motive_4→motive_3→motive_3→motive_6→motive_6→motive_5,motive_6→motive_6→motive_7→motive_7→motive_4→motive_4→motive_2→motive_2→motive_5→motive_5→motive_1→motive_1→motive_8→motive_8→motive_4→motive_4→motive_3→motive_3→motive_6→motive_6→motive_5,
21,motive_6→motive_6→motive_8→motive_8→motive_7→motive_7→motive_3→motive_3→motive_2→motive_2→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_8→motive_8→motive_3→motive_3→motive_7,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→D→D→C,21,20,2,"[20, 136]",motive_6→motive_6→motive_8→motive_8→motive_7→motive_7→motive_3→motive_3→motive_2→motive_2→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_8→motive_8→motive_3→motive_3→motive_7,motive_7→motive_7→motive_1→motive_1→motive_2→motive_2→motive_6→motive_6→motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_2,
22,motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_6→motive_6→motive_3→motive_3→motive_4→motive_4→motive_8→motive_8→motive_1→motive_1→motive_5,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→C,21,0,2,"[0, 46]",motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_6→motive_6→motive_3→motive_3→motive_4→motive_4→motive_8→motive_8→motive_1→motive_1→motive_5,motive_5→motive_5→motive_8→motive_8→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_3→motive_3→motive_4→motive_4→motive_8→motive_8→motive_5→motive_5→motive_6,
23,motive_3→motive_3→motive_1→motive_1→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_8,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→C,21,12,6,"[12, 20, 52, 82, 138, 230]",motive_3→motive_3→motive_1→motive_1→motive_8→motive_8→motive_7→motive_7→motive_2→motive_2→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_8,motive_2→motive_2→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_6,motive_1→motive_1→motive_8→motive_8→motive_2→motive_2→motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_1→motive_1→motive_7→motive_7→motive_8→motive_8→motive_2
24,motive_6→motive_6→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_8,A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→A→A→H→H→B,21,12,3,"[12, 68, 208]",motive_6→motive_6→motive_8→motive_8→motive_1→motive_1→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_8,motive_7→motive_7→motive_8→motive_8→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_2→motive_2→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_8,motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_4→motive_4→motive_6→motive_6→motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_8
25,motive_6→motive_6→motive_3→motive_3→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_6,A→A→B→B→C→C→D→D→E→E→A→A→F→F→C→C→B→B→D→D→A,21,62,3,"[62, 84, 136]",motive_6→motive_6→motive_3→motive_3→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_6,motive_2→motive_2→motive_8→motive_8→motive_4→motive_4→motive_3→motive_3→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_4→motive_4→motive_8→motive_8→motive_3→motive_3→motive_2,motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_8→motive_8→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_6
26,motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_7,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→D→D→C,21,0,3,"[0, 38, 216]",motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_1→motive_1→motive_2→motive_2→motive_8→motive_8→motive_7,motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_5→motive_5→motive_3→motive_3→motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_6,motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_1
27,motive_1→motive_1→motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_6→motive_6→motive_2→motive_2→motive_4,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→D,21,14,3,"[14, 106, 194]",motive_1→motive_1→motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_7→motive_7→motive_6→motive_6→motive_2→motive_2→motive_4,motive_1→motive_1→motive_4→motive_4→motive_2→motive_2→motive_6→motive_6→motive_7→motive_7→motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_4→motive_4→motive_2→motive_2→motive_6,motive_1→motive_1→motive_3→motive_3→motive_2→motive_2→motive_6→motive_6→motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_2→motive_2→motive_6
28,motive_8→motive_8→motive_4→motive_4→motive_2→motive_2→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_7→motive_7→motive_8→motive_8→motive_4→motive_4→motive_5→motive_5→motive_3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→H→H→E,21,0,2,"[0, 52]",motive_8→motive_8→motive_4→motive_4→motive_2→motive_2→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_7→motive_7→motive_8→motive_8→motive_4→motive_4→motive_5→motive_5→motive_3,motive_2→motive_2→motive_8→motive_8→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_7→motive_7→motive_3→motive_3→motive_2→motive_2→motive_8→motive_8→motive_1→motive_1→motive_4,
29,motive_5→motive_5→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_1,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→B→B→D,21,4,4,"[4, 62, 98, 186]",motive_5→motive_5→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_8→motive_8→motive_6→motive_6→motive_7→motive_7→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_1,motive_2→motive_2→motive_6→motive_6→motive_4→motive_4→motive_1→motive_1→motive_8→motive_8→motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_4→motive_4→motive_6→motive_6→motive_1,motive_7→motive_7→motive_6→motive_6→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_5→motive_5→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_6→motive_6→motive_2
30,motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_3→motive_3→motive_5→motive_5→motive_6→motive_6→motive_2→motive_2→motive_8→motive_8→motive_4→motive_4→motive_7→motive_7→motive_1,A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→H→H→A→A→B,21,8,2,"[8, 242]",motive_7→motive_7→motive_1→motive_1→motive_8→motive_8→motive_3→motive_3→motive_5→motive_5→motive_6→motive_6→motive_2→motive_2→motive_8→motive_8→motive_4→motive_4→motive_7→motive_7→motive_1,motive_7→motive_7→motive_1→motive_1→motive_5→motive_5→motive_2→motive_2→motive_8→motive_8→motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_3→motive_3→motive_7→motive_7→motive_1,
31,motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_5→motive_5→motive_2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→D,21,12,3,"[12, 92, 102]",motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_2→motive_2→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_5→motive_5→motive_2,motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_4→motive_4→motive_8→motive_8→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_5,motive_4→motive_4→motive_8→motive_8→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_1
32,motive_3→motive_3→motive_7→motive_7→motive_8→motive_8→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_7→motive_7→motive_8→motive_8→motive_6→motive_6→motive_2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→D→D→G,21,12,3,"[12, 132, 182]",motive_3→motive_3→motive_7→motive_7→motive_8→motive_8→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_7→motive_7→motive_8→motive_8→motive_6→motive_6→motive_2,motive_5→motive_5→motive_8→motive_8→motive_7→motive_7→motive_6→motive_6→motive_3→motive_3→motive_4→motive_4→motive_5→motive_5→motive_8→motive_8→motive_7→motive_7→motive_6→motive_6→motive_2,motive_8→motive_8→motive_5→motive_5→motive_6→motive_6→motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_8→motive_8→motive_5→motive_5→motive_6→motive_6→motive_3→motive_3→motive_2
33,motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_5→motive_5→motive_8,A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→G→G→H,21,22,2,"[22, 66]",motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_6→motive_6→motive_2→motive_2→motive_1→motive_1→motive_3→motive_3→motive_4→motive_4→motive_7→motive_7→motive_5→motive_5→motive_8,motive_4→motive_4→motive_7→motive_7→motive_3→motive_3→motive_5→motive_5→motive_2→motive_2→motive_1→motive_1→motive_4→motive_4→motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_8,
